Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,463
design__inferred_latch__count,0
design__instance__count,3128
design__instance__area,21205.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,46
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.002440175274387002
power__switching__total,0.0021787453442811966
power__leakage__total,4.305273648697039E-8
power__total,0.004618963226675987
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2670622409918999
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26218225554914465
timing__hold__ws__corner:nom_tt_025C_1v80,0.3156833217518565
timing__setup__ws__corner:nom_tt_025C_1v80,3.4425920866187147
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.315683
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.337509
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,16
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,46
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2743174376407138
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26967254193007173
timing__hold__ws__corner:nom_ss_100C_1v60,0.8802689937237981
timing__setup__ws__corner:nom_ss_100C_1v60,-0.75553254679951
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,-6.853051653460748
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.75553254679951
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.880269
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,13
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.610143
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,46
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26383118658752847
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25982705611367085
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11033302361810814
timing__setup__ws__corner:nom_ff_n40C_1v95,5.106514911017287
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110333
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.098651
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,26
design__max_fanout_violation__count,46
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2623321634172843
clock__skew__worst_setup,0.2586864407014878
timing__hold__ws,0.10880002762234964
timing__setup__ws,-0.9156933248615913
timing__hold__tns,0
timing__setup__tns,-8.634939230275695
timing__hold__wns,0
timing__setup__wns,-0.9156933248615913
timing__hold_vio__count,0
timing__hold_r2r__ws,0.1088
timing__hold_r2r_vio__count,0
timing__setup_vio__count,39
timing__setup_r2r__ws,0.487125
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 227.46 238.18
design__core__bbox,5.52 10.88 221.72 225.76
design__io,58
design__die__area,54176.4
design__core__area,46457.1
design__instance__count__stdcell,3128
design__instance__area__stdcell,21205.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.45645
design__instance__utilization__stdcell,0.45645
design__instance__count__class:buffer,78
design__instance__count__class:inverter,147
design__instance__count__class:sequential_cell,142
design__instance__count__class:multi_input_combinational_cell,1411
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,7325
design__instance__count__class:tap_cell,648
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,56
design__io__hpwl,5244926
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,43733
design__violations,0
design__instance__count__class:timing_repair_buffer,228
design__instance__count__class:clock_buffer,22
design__instance__count__class:clock_inverter,10
design__instance__count__setup_buffer,4
design__instance__count__hold_buffer,64
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,442
antenna_diodes_count,1
route__net,2062
route__net__special,2
route__drc_errors__iter:1,932
route__wirelength__iter:1,51362
route__drc_errors__iter:2,344
route__wirelength__iter:2,50877
route__drc_errors__iter:3,400
route__wirelength__iter:3,50781
route__drc_errors__iter:4,28
route__wirelength__iter:4,50641
route__drc_errors__iter:5,0
route__wirelength__iter:5,50637
route__drc_errors,0
route__wirelength,50637
route__vias,16477
route__vias__singlecut,16477
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,341.1
timing__unannotated_net__count__corner:nom_tt_025C_1v80,15
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,15
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,15
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,46
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26527938929738315
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2607855394335131
timing__hold__ws__corner:min_tt_025C_1v80,0.31393322163749243
timing__setup__ws__corner:min_tt_025C_1v80,3.517684465503649
timing__hold__tns__corner:min_tt_025C_1v80,0
timing__setup__tns__corner:min_tt_025C_1v80,0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.313933
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,5.406278
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,15
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,16
design__max_fanout_violation__count__corner:min_ss_100C_1v60,46
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.2721502822353542
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.2677937114523616
timing__hold__ws__corner:min_ss_100C_1v60,0.8790395327115567
timing__setup__ws__corner:min_ss_100C_1v60,-0.6164215978796516
timing__hold__tns__corner:min_ss_100C_1v60,0
timing__setup__tns__corner:min_ss_100C_1v60,-5.233542636284598
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-0.6164215978796516
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.87904
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,13
timing__setup_r2r__ws__corner:min_ss_100C_1v60,0.731045
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,15
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,46
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.2623321634172843
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.2586864407014878
timing__hold__ws__corner:min_ff_n40C_1v95,0.10880002762234964
timing__setup__ws__corner:min_ff_n40C_1v95,5.1507630729597516
timing__hold__tns__corner:min_ff_n40C_1v95,0
timing__setup__tns__corner:min_ff_n40C_1v95,0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.1088
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,7.142513
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,15
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,46
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.2691210941381444
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.2636902715261426
timing__hold__ws__corner:max_tt_025C_1v80,0.31784675790997846
timing__setup__ws__corner:max_tt_025C_1v80,3.3610035705883705
timing__hold__tns__corner:max_tt_025C_1v80,0
timing__setup__tns__corner:max_tt_025C_1v80,0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.317847
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,5.268199
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,15
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,26
design__max_fanout_violation__count__corner:max_ss_100C_1v60,46
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.2767111340606553
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.2717048052341244
timing__hold__ws__corner:max_ss_100C_1v60,0.8836330806058577
timing__setup__ws__corner:max_ss_100C_1v60,-0.9156933248615913
timing__hold__tns__corner:max_ss_100C_1v60,0
timing__setup__tns__corner:max_ss_100C_1v60,-8.634939230275695
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-0.9156933248615913
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.883633
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,13
timing__setup_r2r__ws__corner:max_ss_100C_1v60,0.487125
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,15
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,46
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.26562719442525917
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2610571555041695
timing__hold__ws__corner:max_ff_n40C_1v95,0.11189183229991921
timing__setup__ws__corner:max_ff_n40C_1v95,5.047528315961488
timing__hold__tns__corner:max_ff_n40C_1v95,0
timing__setup__tns__corner:max_ff_n40C_1v95,0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.111892
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,7.053769
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,15
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,15
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79911
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79984
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000885682
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00091629
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000156809
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00091629
design_powergrid__voltage__worst,0.00091629
design_powergrid__voltage__worst__net:VPWR,1.79911
design_powergrid__drop__worst,0.00091629
design_powergrid__drop__worst__net:VPWR,0.000885682
design_powergrid__voltage__worst__net:VGND,0.00091629
design_powergrid__drop__worst__net:VGND,0.00091629
ir__voltage__worst,1.8
ir__drop__avg,0.000163
ir__drop__worst,0.000886
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
